v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,323.0,605.0,27515.94415071213,51539.15235659703,0.5338842975206611,0.5338842975206611,7,0,1,17.0,44232,7409,36823,0.013711395101171475,0.013449430676490293,0,85.18868158115211,17.0,7,8,True,"{6: 32, 2: 47, 1: 55, 3: 59, 4: 62, 5: 98, 0: 13}","{(0, 3): [(13, 8), (8, 59)], (0, 4): [(13, 11), (11, 62)], (0, 6): [(13, 12), (12, 69), (69, 32)], (1, 3): [(55, 10), (10, 59)], (1, 4): [(55, 26), (26, 62)], (2, 4): [(47, 17), (17, 91), (91, 62)], (3, 4): [(59, 19), (19, 62)], (5, 6): [(98, 11), (11, 32)]}","{(6, 32): {'cpu': 20}, (2, 47): {'cpu': 18}, (1, 55): {'cpu': 16}, (3, 59): {'cpu': 14}, (4, 62): {'cpu': 14}, (5, 98): {'cpu': 14}, (0, 13): {'cpu': 7}}","{((0, 3), (13, 8)): {'bw': 35}, ((0, 3), (8, 59)): {'bw': 35}, ((0, 4), (13, 11)): {'bw': 48}, ((0, 4), (11, 62)): {'bw': 48}, ((0, 6), (13, 12)): {'bw': 30}, ((0, 6), (12, 69)): {'bw': 30}, ((0, 6), (69, 32)): {'bw': 30}, ((1, 3), (55, 10)): {'bw': 3}, ((1, 3), (10, 59)): {'bw': 3}, ((1, 4), (55, 26)): {'bw': 10}, ((1, 4), (26, 62)): {'bw': 10}, ((2, 4), (47, 17)): {'bw': 32}, ((2, 4), (17, 91)): {'bw': 32}, ((2, 4), (91, 62)): {'bw': 32}, ((3, 4), (59, 19)): {'bw': 21}, ((3, 4), (19, 62)): {'bw': 21}, ((5, 6), (98, 11)): {'bw': 41}, ((5, 6), (11, 32)): {'bw': 41}}",605.0,323.0,206.0,103.0,220,103.0,220,103.0,502,282,0.5338842975206611,51539.15235659703,27515.94415071213,45.48089942266468,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -80}, 2: {'cpu': -82}, 1: {'cpu': -83}, 3: {'cpu': -85}, 4: {'cpu': -85}, 5: {'cpu': -84}, 0: {'cpu': -89}}, 'link_level': {(0, 3): {'bw': -16}, (0, 4): {'bw': -5}, (0, 6): {'bw': -29}, (1, 3): {'bw': -65}, (1, 4): {'bw': -58}, (2, 4): {'bw': -33}, (3, 4): {'bw': -56}, (5, 6): {'bw': -40}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {6: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],7,8
2,2,2,356.0,674.0,46530.7259634314,91297.33251046459,0.5281899109792285,0.5096613962746174,9,1,1,42.0,44163,7394,36769,0.015708200212992574,0.014896182183523066,1,576.2055094763416,42.0,2,1,True,"{0: 2, 1: 15}","{(0, 1): [(2, 33), (33, 81), (81, 15)]}","{(0, 2): {'cpu': 14}, (1, 15): {'cpu': 1}}","{((0, 1), (2, 33)): {'bw': 18}, ((0, 1), (33, 81)): {'bw': 18}, ((0, 1), (81, 15)): {'bw': 18}}",69.0,33.0,30.0,15.0,18,15.0,18,15.0,54,36,0.4782608695652174,39758.18015386757,19014.781812719273,275.57654801042423,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -81}, 1: {'cpu': -94}}, 'link_level': {(0, 1): {'bw': -46}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],2,1
3,3,3,593.0,1153.0,50638.49332371021,99599.52898967787,0.5143104943625325,0.5084210120005507,13,2,1,67.0,43684,7340,36344,0.02289669861554844,0.02628265237776284,2,17.332351731134203,67.0,5,6,True,"{3: 21, 1: 25, 2: 15, 4: 81, 0: 5}","{(0, 1): [(5, 51), (51, 90), (90, 25)], (0, 3): [(5, 38), (38, 21)], (1, 3): [(25, 56), (56, 0), (0, 21)], (1, 4): [(25, 56), (56, 75), (75, 81)], (2, 4): [(15, 81)], (3, 4): [(21, 0), (0, 75), (75, 81)]}","{(3, 21): {'cpu': 20}, (1, 25): {'cpu': 19}, (2, 15): {'cpu': 12}, (4, 81): {'cpu': 2}, (0, 5): {'cpu': 1}}","{((0, 1), (5, 51)): {'bw': 25}, ((0, 1), (51, 90)): {'bw': 25}, ((0, 1), (90, 25)): {'bw': 25}, ((0, 3), (5, 38)): {'bw': 42}, ((0, 3), (38, 21)): {'bw': 42}, ((1, 3), (25, 56)): {'bw': 30}, ((1, 3), (56, 0)): {'bw': 30}, ((1, 3), (0, 21)): {'bw': 30}, ((1, 4), (25, 56)): {'bw': 28}, ((1, 4), (56, 75)): {'bw': 28}, ((1, 4), (75, 81)): {'bw': 28}, ((2, 4), (15, 81)): {'bw': 41}, ((3, 4), (21, 0)): {'bw': 17}, ((3, 4), (0, 75)): {'bw': 17}, ((3, 4), (75, 81)): {'bw': 17}}",479.0,237.0,108.0,54.0,183,54.0,183,54.0,425,242,0.49478079331941544,8302.196479213284,4107.767360278806,8.575714739621725,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -75}, 1: {'cpu': -76}, 2: {'cpu': -82}, 4: {'cpu': -92}, 0: {'cpu': -92}}, 'link_level': {(0, 1): {'bw': -38}, (0, 3): {'bw': -34}, (1, 3): {'bw': -35}, (1, 4): {'bw': -16}, (2, 4): {'bw': -5}, (3, 4): {'bw': -19}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {3: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5,6
3,3,2,593.0,1153.0,50638.49332371021,99599.52898967787,0.5143104943625325,0.5084210120005507,13,3,0,84.3323517311342,44163,7394,36769,0.015708200212992574,0.014896182183523066,2,17.332351731134203,67.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[]
4,4,3,779.0,1514.0,251948.8194665247,490314.7318797641,0.5145310435931307,0.513851212466339,13,4,1,85.0,43802,7336,36466,0.023429179978700754,0.023014065639651693,3,1082.3135814129812,85.0,5,5,True,"{3: 21, 0: 25, 1: 15, 4: 81, 2: 5}","{(0, 2): [(25, 90), (90, 51), (51, 5)], (0, 4): [(25, 56), (56, 75), (75, 81)], (1, 4): [(15, 4), (4, 81)], (2, 3): [(5, 38), (38, 21)], (2, 4): [(5, 46), (46, 4), (4, 81)]}","{(3, 21): {'cpu': 20}, (0, 25): {'cpu': 14}, (1, 15): {'cpu': 13}, (4, 81): {'cpu': 10}, (2, 5): {'cpu': 1}}","{((0, 2), (25, 90)): {'bw': 3}, ((0, 2), (90, 51)): {'bw': 3}, ((0, 2), (51, 5)): {'bw': 3}, ((0, 4), (25, 56)): {'bw': 31}, ((0, 4), (56, 75)): {'bw': 31}, ((0, 4), (75, 81)): {'bw': 31}, ((1, 4), (15, 4)): {'bw': 49}, ((1, 4), (4, 81)): {'bw': 49}, ((2, 3), (5, 38)): {'bw': 32}, ((2, 3), (38, 21)): {'bw': 32}, ((2, 4), (5, 46)): {'bw': 13}, ((2, 4), (46, 4)): {'bw': 13}, ((2, 4), (4, 81)): {'bw': 13}}",361.0,186.0,116.0,58.0,128,58.0,128,58.0,303,175,0.5152354570637119,390715.2028900862,201310.3261428145,557.6463328055803,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -75}, 0: {'cpu': -81}, 1: {'cpu': -81}, 4: {'cpu': -84}, 2: {'cpu': -92}}, 'link_level': {(0, 2): {'bw': -60}, (0, 4): {'bw': -25}, (1, 4): {'bw': -40}, (2, 3): {'bw': -44}, (2, 4): {'bw': -27}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5,5
5,5,4,1193.0,2267.0,637669.718569603,1191879.5556107252,0.5262461402734891,0.5350118773057214,21,5,1,101.0,43049,7248,35801,0.03514376996805113,0.04083054253181517,4,931.6929930026046,101.0,9,10,True,"{4: 29, 0: 69, 3: 92, 5: 93, 6: 5, 7: 28, 1: 85, 8: 88, 2: 7}","{(0, 2): [(69, 10), (10, 55), (55, 7)], (1, 4): [(85, 4), (4, 29)], (1, 6): [(85, 5)], (1, 8): [(85, 4), (4, 34), (34, 88)], (2, 3): [(7, 45), (45, 92)], (2, 4): [(7, 55), (55, 10), (10, 29)], (2, 7): [(7, 66), (66, 17), (17, 28)], (2, 8): [(7, 66), (66, 88)], (4, 7): [(29, 28)], (5, 6): [(93, 78), (78, 5)]}","{(4, 29): {'cpu': 20}, (0, 69): {'cpu': 17}, (3, 92): {'cpu': 14}, (5, 93): {'cpu': 11}, (6, 5): {'cpu': 9}, (7, 28): {'cpu': 9}, (1, 85): {'cpu': 7}, (8, 88): {'cpu': 1}, (2, 7): {'cpu': 0}}","{((0, 2), (69, 10)): {'bw': 26}, ((0, 2), (10, 55)): {'bw': 26}, ((0, 2), (55, 7)): {'bw': 26}, ((1, 4), (85, 4)): {'bw': 41}, ((1, 4), (4, 29)): {'bw': 41}, ((1, 6), (85, 5)): {'bw': 47}, ((1, 8), (85, 4)): {'bw': 31}, ((1, 8), (4, 34)): {'bw': 31}, ((1, 8), (34, 88)): {'bw': 31}, ((2, 3), (7, 45)): {'bw': 40}, ((2, 3), (45, 92)): {'bw': 40}, ((2, 4), (7, 55)): {'bw': 31}, ((2, 4), (55, 10)): {'bw': 31}, ((2, 4), (10, 29)): {'bw': 31}, ((2, 7), (7, 66)): {'bw': 8}, ((2, 7), (66, 17)): {'bw': 8}, ((2, 7), (17, 28)): {'bw': 8}, ((2, 8), (7, 66)): {'bw': 49}, ((2, 8), (66, 88)): {'bw': 49}, ((4, 7), (29, 28)): {'bw': 36}, ((5, 6), (93, 78)): {'bw': 17}, ((5, 6), (78, 5)): {'bw': 17}}",753.0,414.0,176.0,88.0,326,88.0,326,88.0,665,339,0.549800796812749,701564.8237309612,385720.8991030783,512.245549937687,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -73}, 0: {'cpu': -76}, 3: {'cpu': -79}, 5: {'cpu': -82}, 6: {'cpu': -83}, 7: {'cpu': -83}, 1: {'cpu': -85}, 8: {'cpu': -91}, 2: {'cpu': -91}}, 'link_level': {(0, 2): {'bw': -39}, (1, 4): {'bw': -42}, (1, 6): {'bw': -5}, (1, 8): {'bw': -11}, (2, 3): {'bw': -40}, (2, 4): {'bw': -8}, (2, 7): {'bw': -60}, (2, 8): {'bw': -11}, (4, 7): {'bw': -31}, (5, 6): {'bw': -36}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {4: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],9,10
5,5,3,1193.0,2267.0,637669.718569603,1191879.5556107252,0.5262461402734891,0.5350118773057214,21,6,0,102.18868158115211,43654,7351,36303,0.021432374866879655,0.02738111185532488,0,85.18868158115211,17.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[]
6,6,4,1411.0,2669.0,715453.3335225646,1335315.3960285718,0.5286624203821656,0.5357935178838125,21,7,1,115.0,43252,7302,35950,0.027955271565495154,0.036838580040187585,5,356.8055731787226,115.0,5,6,True,"{2: 32, 1: 47, 3: 55, 4: 59, 0: 62}","{(0, 2): [(62, 11), (11, 32)], (0, 4): [(62, 19), (19, 59)], (1, 2): [(47, 11), (11, 32)], (1, 4): [(47, 69), (69, 10), (10, 59)], (2, 4): [(32, 19), (19, 59)], (3, 4): [(55, 36), (36, 59)]}","{(2, 32): {'cpu': 20}, (1, 47): {'cpu': 16}, (3, 55): {'cpu': 8}, (4, 59): {'cpu': 4}, (0, 62): {'cpu': 1}}","{((0, 2), (62, 11)): {'bw': 29}, ((0, 2), (11, 32)): {'bw': 29}, ((0, 4), (62, 19)): {'bw': 43}, ((0, 4), (19, 59)): {'bw': 43}, ((1, 2), (47, 11)): {'bw': 44}, ((1, 2), (11, 32)): {'bw': 44}, ((1, 4), (47, 69)): {'bw': 15}, ((1, 4), (69, 10)): {'bw': 15}, ((1, 4), (10, 59)): {'bw': 15}, ((2, 4), (32, 19)): {'bw': 13}, ((2, 4), (19, 59)): {'bw': 13}, ((3, 4), (55, 36)): {'bw': 25}, ((3, 4), (36, 59)): {'bw': 25}}",402.0,218.0,98.0,49.0,169,49.0,169,49.0,353,184,0.5422885572139303,143435.84041784648,77783.61495296154,193.49157948497893,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -80}, 1: {'cpu': -84}, 3: {'cpu': -91}, 4: {'cpu': -95}, 0: {'cpu': -98}}, 'link_level': {(0, 2): {'bw': -24}, (0, 4): {'bw': -34}, (1, 2): {'bw': -14}, (1, 4): {'bw': -31}, (2, 4): {'bw': -44}, (3, 4): {'bw': -40}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5,6
7,7,5,1689.0,3221.0,734441.9645554128,1373019.4403815654,0.5243713132567526,0.5349100988339317,21,8,1,139.0,42700,7235,35465,0.036874334398296016,0.04983255190890823,6,68.30442817571294,139.0,7,9,True,"{2: 62, 1: 98, 4: 13, 3: 59, 0: 7, 5: 55, 6: 88}","{(0, 2): [(7, 45), (45, 26), (26, 62)], (1, 2): [(98, 33), (33, 62)], (1, 6): [(98, 1), (1, 88)], (2, 3): [(62, 19), (19, 59)], (2, 5): [(62, 26), (26, 55)], (2, 6): [(62, 73), (73, 35), (35, 88)], (3, 5): [(59, 36), (36, 55)], (3, 6): [(59, 10), (10, 35), (35, 88)], (4, 5): [(13, 91), (91, 55)]}","{(2, 62): {'cpu': 18}, (1, 98): {'cpu': 16}, (4, 13): {'cpu': 14}, (3, 59): {'cpu': 11}, (0, 7): {'cpu': 5}, (5, 55): {'cpu': 2}, (6, 88): {'cpu': 1}}","{((0, 2), (7, 45)): {'bw': 28}, ((0, 2), (45, 26)): {'bw': 28}, ((0, 2), (26, 62)): {'bw': 28}, ((1, 2), (98, 33)): {'bw': 26}, ((1, 2), (33, 62)): {'bw': 26}, ((1, 6), (98, 1)): {'bw': 41}, ((1, 6), (1, 88)): {'bw': 41}, ((2, 3), (62, 19)): {'bw': 1}, ((2, 3), (19, 59)): {'bw': 1}, ((2, 5), (62, 26)): {'bw': 26}, ((2, 5), (26, 55)): {'bw': 26}, ((2, 6), (62, 73)): {'bw': 8}, ((2, 6), (73, 35)): {'bw': 8}, ((2, 6), (35, 88)): {'bw': 8}, ((3, 5), (59, 36)): {'bw': 19}, ((3, 5), (36, 55)): {'bw': 19}, ((3, 6), (59, 10)): {'bw': 27}, ((3, 6), (10, 35)): {'bw': 27}, ((3, 6), (35, 88)): {'bw': 27}, ((4, 5), (13, 91)): {'bw': 35}, ((4, 5), (91, 55)): {'bw': 35}}",552.0,278.0,134.0,67.0,211,67.0,211,67.0,485,274,0.5036231884057971,37704.044352993544,18988.6310328482,34.399693900087314,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -80}, 1: {'cpu': -82}, 4: {'cpu': -82}, 3: {'cpu': -84}, 0: {'cpu': -86}, 5: {'cpu': -89}, 6: {'cpu': -90}}, 'link_level': {(0, 2): {'bw': -15}, (1, 2): {'bw': -53}, (1, 6): {'bw': -52}, (2, 3): {'bw': -33}, (2, 5): {'bw': -20}, (2, 6): {'bw': -53}, (3, 5): {'bw': -21}, (3, 6): {'bw': -32}, (4, 5): {'bw': -16}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],7,9
8,8,6,1862.0,3551.0,818473.9439750205,1533311.65545943,0.5243593353984793,0.5337949014219024,23,9,1,167.0,42370,7187,35183,0.043264110756123575,0.05738780977896851,7,485.73398508443836,167.0,4,5,True,"{1: 88, 0: 94, 3: 17, 2: 55}","{(0, 1): [(94, 35), (35, 88)], (0, 2): [(94, 57), (57, 7), (7, 55)], (0, 3): [(94, 28), (28, 17)], (1, 2): [(88, 35), (35, 10), (10, 55)], (1, 3): [(88, 35), (35, 17)]}","{(1, 88): {'cpu': 20}, (0, 94): {'cpu': 12}, (3, 17): {'cpu': 12}, (2, 55): {'cpu': 4}}","{((0, 1), (94, 35)): {'bw': 42}, ((0, 1), (35, 88)): {'bw': 42}, ((0, 2), (94, 57)): {'bw': 28}, ((0, 2), (57, 7)): {'bw': 28}, ((0, 2), (7, 55)): {'bw': 28}, ((0, 3), (94, 28)): {'bw': 50}, ((0, 3), (28, 17)): {'bw': 50}, ((1, 2), (88, 35)): {'bw': 4}, ((1, 2), (35, 10)): {'bw': 4}, ((1, 2), (10, 55)): {'bw': 4}, ((1, 3), (88, 35)): {'bw': 1}, ((1, 3), (35, 17)): {'bw': 1}}",330.0,173.0,96.0,48.0,125,48.0,125,48.0,282,157,0.5242424242424243,160292.21507786465,84031.97941960783,254.6423618775995,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -70}, 0: {'cpu': -78}, 3: {'cpu': -77}, 2: {'cpu': -85}}, 'link_level': {(0, 1): {'bw': -9}, (0, 2): {'bw': -2}, (0, 3): {'bw': -6}, (1, 2): {'bw': -5}, (1, 3): {'bw': -4}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,True,False,0,[],4,5
